,Host,populationTrend
618,Bettongia penicillata,Decreasing
619,Aepyprymnus rufescens,Unknown
620,Caloprymnus campestris,
621,Pseudochirulus canescens,Decreasing
622,Pseudochirulus larvatus,Decreasing
623,Pseudochirulus mayeri,Decreasing
624,Pseudochirulus forbesi,Unknown
625,Pseudochirulus caroli,Unknown
626,Pseudochirulus cinereus,Decreasing
627,Pseudochirulus schlegeli,Decreasing
628,Pseudochirulus herbertensis,Stable
629,Petropseudes dahli,Unknown
630,Hemibelideus lemuroides,Stable
631,Pseudochirops albertisii,Decreasing
632,Pseudochirops corinnae,Decreasing
633,Pseudochirops archeri,Decreasing
634,Pseudochirops cupreus,Stable
635,Pseudochirops coronatus,Decreasing
636,Pseudocheirus peregrinus,Stable
637,Pseudocheirus occidentalis,Decreasing
638,Cercartetus concinnus,Stable
639,Cercartetus caudatus,Stable
640,Cercartetus lepidus,Stable
641,Cercartetus nanus,Decreasing
642,Hypsiprymnodon moschatus,Stable
643,Acrobates pygmaeus,Stable
644,Distoechurus pennatus,Stable
645,Ornithorhynchus anatinus,Decreasing
646,Zaglossus bruijnii,Decreasing
647,Zaglossus attenboroughi,Decreasing
648,Zaglossus bartoni,Decreasing
649,Tachyglossus aculeatus,Stable
650,Notoryctes caurinus,Stable
651,Notoryctes typhlops,Stable
652,Chaeropus ecaudatus,
653,Peroryctes broadbenti,Decreasing
654,Peroryctes raffrayana,Unknown
655,Microperoryctes papuensis,Unknown
656,Microperoryctes murina,Unknown
657,Microperoryctes longicauda,Unknown
658,Microperoryctes aplini,Unknown
659,Perameles bougainville,Stable
660,Perameles eremiana,
661,Perameles gunnii,Decreasing
662,Isoodon macrourus,Stable
663,Echymipera rufescens,Decreasing
664,Echymipera davidi,Unknown
665,Echymipera kalubu,Stable
666,Echymipera clara,Unknown
667,Echymipera echinista,Unknown
668,Rhynchomeles prattorum,Unknown
669,Macrotis lagotis,Decreasing
670,Macrotis leucura,
671,Kerivoula argentata,Unknown
672,Phoniscus atrox,Decreasing
673,Rhinolophus euryale,Decreasing
674,Furipterus horrens,Unknown
675,Platyrrhinus recifinus,Unknown
676,Kerivoula cuprosa,Unknown
677,Platyrrhinus infuscus,Unknown
678,Kerivoula eriophora,Unknown
679,Rhinolophus blasii,Decreasing
680,Platyrrhinus vittatus,Unknown
681,Dermanura rosenbergi,Unknown
682,Rhinolophus hipposideros,Decreasing
683,Rhinolophus ferrumequinum,Decreasing
684,Kerivoula hardwickii,Stable
685,Platyrrhinus umbratus,Unknown
686,Kerivoula intermedia,Decreasing
687,Rhinolophus acuminatus,Unknown
688,Rhinolophus mehelyi,Decreasing
689,Phoniscus jagorii,Unknown
690,Histiotus laephotis,Decreasing
691,Pteropus aruensis,Unknown
692,Tomopeas ravus,Decreasing
693,Kerivoula africana,Decreasing
694,Tonatia bidens,Unknown
695,Kerivoula agnella,Decreasing
696,Asellia tridens,Stable
697,Asellia patrizii,Unknown
698,Rhinolophus robinsoni,Decreasing
699,Myotis nipalensis,Unknown
700,Corynorhinus townsendii,Stable
701,Corynorhinus mexicanus,Decreasing
702,Corynorhinus rafinesquii,Increasing
703,Rhinolophus luctus,Unknown
704,Melonycteris woodfordi,Unknown
705,Rhinolophus lepidus,Unknown
706,Aethalops aequalis,Unknown
707,Rhinolophus landeri,Unknown
708,Rhinolophus inops,Stable
709,Plecotus taivanus,Decreasing
710,Rhinolophus marshalli,Unknown
711,Rhinolophus malayanus,Stable
712,Rhinolophus macrotis,Stable
713,Melonycteris fardoulisi,Decreasing
714,Rhinolophus maclaudi,Decreasing
715,Desmodus rotundus,Stable
716,Rhinolophus euryotis,Unknown
717,Rhinolophus eloquens,Unknown
718,Rhinolophus denti,Unknown
719,Rhinolophus deckenii,Decreasing
720,Styloctenium mindorensis,Decreasing
721,Pteropus ualanus,Stable
722,Rhinolophus hildebrandtii,Unknown
723,Rhinolophus guineensis,Decreasing
724,Rhinolophus fumigatus,Unknown
725,Pteropus keyensis,Unknown
726,Rhinolophus clivosus,Unknown
727,Rhinolophus coelophyllus,Stable
728,Rhinolophus capensis,Stable
729,Plerotes anchietae,Unknown
730,Chaerephon tomensis,Decreasing
731,Eptesicus chiriquinus,Unknown
732,Rhinolophus creaghi,Decreasing
733,Rhinolophus darlingi,Unknown
734,Rhinolophus cognatus,Decreasing
735,Rhinolophus alcyone,Unknown
736,Notopteris neocaledonica,Decreasing
737,Rhinolophus adami,Unknown
738,Rhinolophus affinis,Stable
739,Rhinolophus borneensis,Unknown
740,Diaemus youngi,Unknown
741,Rhinolophus bocharicus,Stable
742,Nyctimene keasti,Decreasing
743,Harpiola isodon,Unknown
744,Natalus espiritosantensis,Unknown
745,Eumops floridanus,Decreasing
746,Chalinolobus picatus,Decreasing
747,Chalinolobus nigrogriseus,Stable
748,Kerivoula lenis,Unknown
749,Chalinolobus gouldii,Stable
750,Myotis laniger,Unknown
751,Chalinolobus neocaledonicus,Decreasing
752,Chalinolobus morio,Stable
753,Saccopteryx antioquensis,Unknown
754,Chalinolobus tuberculatus,Decreasing
755,Micronycteris microtis,Stable
756,Cynopterus minutus,Decreasing
757,Thyroptera lavali,Unknown
758,Thyroptera discifera,Unknown
759,Hipposideros rotalis,Unknown
760,Hipposideros grandis,Unknown
761,Myzopoda schliemanni,Unknown
762,Chalinolobus dwyeri,Decreasing
763,Diclidurus isabella,Unknown
764,Diclidurus scutatus,Unknown
765,Diclidurus albus,Unknown
766,Diclidurus ingens,Unknown
767,Platyrrhinus brachycephalus,Stable
768,Platyrrhinus lineatus,Stable
769,Rhinolophus shortridgei,Unknown
770,Lasiurus minor,Decreasing
771,Mesophylla macconnelli,Unknown
772,Pteronotus paraguanensis,Decreasing
773,Cynomops mexicanus,Unknown
